309.29929039999996,69.55863781,nan,163.56
nan,66.98434263,70.61,181.61
306.2641627,59.41652159,73.11,234.45
345.18248910000005,nan,nan,189.93
392.0027292,78.61538212,nan,213.88
269.99677579999997,nan,nan,nan
372.82012599999996,nan,nan,218.07
nan,91.13631645,65.95,212.01
285.67564930000003,60.99121329999999,75.78,204.71
379.7814942,63.46437381,69.4,nan
nan,86.18990681,nan,216.86
nan,75.86570796,70.26,nan
nan,62.07731522,nan,nan
277.38676660000004,57.4349986,nan,nan
359.62818,86.94190161,nan,nan
nan,89.08748917,nan,nan
nan,76.48865605,nan,233.43
nan,57.81464966,nan,nan
nan,70.53526358,69.4,174.34
nan,66.13460085,72.85,nan
nan,90.74470290000001,nan,230.56
454.2327928,nan,71.3,221.86
341.2910988,nan,70.26,207.92
nan,88.98181008,nan,209.57
nan,78.75353238,nan,188.46
365.757983,81.77352185,69.92,nan
371.68963060000004,88.23588441,69.92,209.96
225.7999318,nan,nan,nan
328.3621204,nan,72.85,nan
nan,69.80964587,70.26,181.41
nan,nan,nan,215.73
nan,66.17501602,nan,190.84
nan,nan,77.07,nan
nan,82.65760679,nan,217.39
nan,nan,75.09,244.27
251.60993939999997,56.21468879999999,nan,180.53
344.6784017,nan,78.71,nan
411.94600360000004,88.13478420000001,nan,nan
nan,nan,74.05,254.32
nan,77.86856467,nan,220.19
274.06328019999995,68.82134752,nan,213.18
228.409967,nan,nan,211.45
319.3965165,68.42917559,71.47,nan
nan,80.29688305,71.3,195.83
nan,57.11835186,70.61,186.74
